"filename", "language", "Python", "HTML", "Markdown", "JavaScript", "CSS", "pip requirements", "Ini", "comment", "blank", "total"
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/README.md", "Markdown", 0, 0, 40, 0, 0, 0, 0, 0, 29, 69
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/api_test.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 7, 22
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/data.py", "Python", 139, 0, 0, 0, 0, 0, 0, 19, 52, 210
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/forms.py", "Python", 106, 0, 0, 0, 0, 0, 0, 10, 18, 134
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/ini_files/obs_textrabbit.ini", "Ini", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/ini_files/textrabbit.ini", "Ini", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/main.py", "Python", 490, 0, 0, 0, 0, 0, 0, 138, 165, 793
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/models.py", "Python", 336, 0, 0, 0, 0, 0, 0, 33, 106, 475
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/modules/audio_module.py", "Python", 0, 0, 0, 0, 0, 0, 0, 37, 0, 37
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/modules/functions.py", "Python", 29, 0, 0, 0, 0, 0, 0, 14, 9, 52
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/modules/import_module.py", "Python", 90, 0, 0, 0, 0, 0, 0, 18, 21, 129
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/modules/model_module.py", "Python", 114, 0, 0, 0, 0, 0, 0, 12, 31, 157
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/modules/network_module.py", "Python", 56, 0, 0, 0, 0, 0, 0, 5, 17, 78
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/modules/support_module.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 121, 0, 0, 0, 121
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/static/css/main.css", "CSS", 0, 0, 0, 0, 160, 0, 0, 244, 46, 450
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/static/js/coherence_chart.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 1, 1, 26
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/static/js/display_file_info.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 8, 7, 32
"/Users/wojtek/Library/Mobile Documents/com~apple~CloudDocs/Python/TextRabbit/static/js/model_descriptions.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 2, 2, 19
